"AGE","SEX","TNM_N_cat","TNM_T_cat","no_metastasis","metastasis","risk_level"
0,"1","N0","T0",0.6212,0.3788,"LOW"
1,"1","N0","T0",0.6212,0.3788,"LOW"
2,"1","N0","T0",0.6212,0.3788,"LOW"
3,"1","N0","T0",0.6212,0.3788,"LOW"
4,"1","N0","T0",0.6212,0.3788,"LOW"
5,"1","N0","T0",0.6212,0.3788,"LOW"
6,"1","N0","T0",0.6212,0.3788,"LOW"
7,"1","N0","T0",0.6212,0.3788,"LOW"
8,"1","N0","T0",0.6212,0.3788,"LOW"
9,"1","N0","T0",0.6212,0.3788,"LOW"
10,"1","N0","T0",0.6212,0.3788,"LOW"
11,"1","N0","T0",0.6212,0.3788,"LOW"
12,"1","N0","T0",0.6212,0.3788,"LOW"
13,"1","N0","T0",0.6212,0.3788,"LOW"
14,"1","N0","T0",0.6212,0.3788,"LOW"
15,"1","N0","T0",0.6212,0.3788,"LOW"
16,"1","N0","T0",0.6226,0.3774,"LOW"
17,"1","N0","T0",0.6375,0.3625,"LOW"
18,"1","N0","T0",0.6523,0.3477,"LOW"
19,"1","N0","T0",0.667,0.333,"LOW"
20,"1","N0","T0",0.6818,0.3182,"LOW"
21,"1","N0","T0",0.6881,0.3119,"LOW"
22,"1","N0","T0",0.6985,0.3015,"LOW"
23,"1","N0","T0",0.6999,0.3001,"LOW"
24,"1","N0","T0",0.6978,0.3022,"LOW"
25,"1","N0","T0",0.6986,0.3014,"LOW"
26,"1","N0","T0",0.6992,0.3008,"LOW"
27,"1","N0","T0",0.6992,0.3008,"LOW"
28,"1","N0","T0",0.6999,0.3001,"LOW"
29,"1","N0","T0",0.7017,0.2983,"LOW"
30,"1","N0","T0",0.6906,0.3094,"LOW"
31,"1","N0","T0",0.6804,0.3196,"LOW"
32,"1","N0","T0",0.6773,0.3227,"LOW"
33,"1","N0","T0",0.681,0.319,"LOW"
34,"1","N0","T0",0.6815,0.3185,"LOW"
35,"1","N0","T0",0.6802,0.3198,"LOW"
36,"1","N0","T0",0.6757,0.3243,"LOW"
37,"1","N0","T0",0.6726,0.3274,"LOW"
38,"1","N0","T0",0.6791,0.3209,"LOW"
39,"1","N0","T0",0.6817,0.3183,"LOW"
40,"1","N0","T0",0.679,0.321,"LOW"
41,"1","N0","T0",0.6753,0.3247,"LOW"
42,"1","N0","T0",0.6733,0.3267,"LOW"
43,"1","N0","T0",0.6732,0.3268,"LOW"
44,"1","N0","T0",0.6714,0.3286,"LOW"
45,"1","N0","T0",0.6748,0.3252,"LOW"
46,"1","N0","T0",0.6744,0.3256,"LOW"
47,"1","N0","T0",0.619,0.381,"LOW"
48,"1","N0","T0",0.5878,0.4122,"LOW"
49,"1","N0","T0",0.586,0.414,"LOW"
50,"1","N0","T0",0.6178,0.3822,"LOW"
51,"1","N0","T0",0.6516,0.3484,"LOW"
52,"1","N0","T0",0.6711,0.3289,"LOW"
53,"1","N0","T0",0.7016,0.2984,"LOW"
54,"1","N0","T0",0.7229,0.2771,"LOW"
55,"1","N0","T0",0.7385,0.2615,"LOW"
56,"1","N0","T0",0.7595,0.2405,"LOW"
57,"1","N0","T0",0.7525,0.2475,"LOW"
58,"1","N0","T0",0.7371,0.2629,"LOW"
59,"1","N0","T0",0.7216,0.2784,"LOW"
60,"1","N0","T0",0.7145,0.2855,"LOW"
61,"1","N0","T0",0.6999,0.3001,"LOW"
62,"1","N0","T0",0.7449,0.2551,"LOW"
63,"1","N0","T0",0.7353,0.2647,"LOW"
64,"1","N0","T0",0.7586,0.2414,"LOW"
65,"1","N0","T0",0.7685,0.2315,"LOW"
66,"1","N0","T0",0.7591,0.2409,"LOW"
67,"1","N0","T0",0.7097,0.2903,"LOW"
68,"1","N0","T0",0.7464,0.2536,"LOW"
69,"1","N0","T0",0.7705,0.2295,"LOW"
70,"1","N0","T0",0.7857,0.2143,"LOW"
71,"1","N0","T0",0.801,0.199,"LOW"
72,"1","N0","T0",0.8128,0.1872,"LOW"
73,"1","N0","T0",0.8243,0.1757,"LOW"
74,"1","N0","T0",0.825,0.175,"LOW"
75,"1","N0","T0",0.8341,0.1659,"LOW"
76,"1","N0","T0",0.8371,0.1629,"LOW"
77,"1","N0","T0",0.8357,0.1643,"LOW"
78,"1","N0","T0",0.8331,0.1669,"LOW"
79,"1","N0","T0",0.8296,0.1704,"LOW"
80,"1","N0","T0",0.8281,0.1719,"LOW"
81,"1","N0","T0",0.8303,0.1697,"LOW"
82,"1","N0","T0",0.8297,0.1703,"LOW"
83,"1","N0","T0",0.8175,0.1825,"LOW"
84,"1","N0","T0",0.8069,0.1931,"LOW"
85,"1","N0","T0",0.7939,0.2061,"LOW"
86,"1","N0","T0",0.7808,0.2192,"LOW"
87,"1","N0","T0",0.7373,0.2627,"LOW"
88,"1","N0","T0",0.6123,0.3877,"LOW"
89,"1","N0","T0",0.5817,0.4183,"LOW"
90,"1","N0","T0",0.6004,0.3996,"LOW"
91,"1","N0","T0",0.6004,0.3996,"LOW"
92,"1","N0","T0",0.6004,0.3996,"LOW"
93,"1","N0","T0",0.6004,0.3996,"LOW"
94,"1","N0","T0",0.6004,0.3996,"LOW"
95,"1","N0","T0",0.6004,0.3996,"LOW"
96,"1","N0","T0",0.6004,0.3996,"LOW"
97,"1","N0","T0",0.6004,0.3996,"LOW"
98,"1","N0","T0",0.6004,0.3996,"LOW"
99,"1","N0","T0",0.6004,0.3996,"LOW"
0,"2","N0","T0",0.824,0.176,"LOW"
1,"2","N0","T0",0.824,0.176,"LOW"
2,"2","N0","T0",0.824,0.176,"LOW"
3,"2","N0","T0",0.824,0.176,"LOW"
4,"2","N0","T0",0.824,0.176,"LOW"
5,"2","N0","T0",0.824,0.176,"LOW"
6,"2","N0","T0",0.824,0.176,"LOW"
7,"2","N0","T0",0.824,0.176,"LOW"
8,"2","N0","T0",0.824,0.176,"LOW"
9,"2","N0","T0",0.824,0.176,"LOW"
10,"2","N0","T0",0.824,0.176,"LOW"
11,"2","N0","T0",0.824,0.176,"LOW"
12,"2","N0","T0",0.824,0.176,"LOW"
13,"2","N0","T0",0.824,0.176,"LOW"
14,"2","N0","T0",0.824,0.176,"LOW"
15,"2","N0","T0",0.824,0.176,"LOW"
16,"2","N0","T0",0.826,0.174,"LOW"
17,"2","N0","T0",0.8358,0.1642,"LOW"
18,"2","N0","T0",0.8411,0.1589,"LOW"
19,"2","N0","T0",0.8486,0.1514,"LOW"
20,"2","N0","T0",0.8563,0.1437,"LOW"
21,"2","N0","T0",0.8595,0.1405,"LOW"
22,"2","N0","T0",0.8667,0.1333,"LOW"
23,"2","N0","T0",0.8667,0.1333,"LOW"
24,"2","N0","T0",0.8687,0.1313,"LOW"
25,"2","N0","T0",0.8705,0.1295,"LOW"
26,"2","N0","T0",0.8679,0.1321,"LOW"
27,"2","N0","T0",0.8689,0.1311,"LOW"
28,"2","N0","T0",0.8685,0.1315,"LOW"
29,"2","N0","T0",0.8695,0.1305,"LOW"
30,"2","N0","T0",0.8641,0.1359,"LOW"
31,"2","N0","T0",0.8578,0.1422,"LOW"
32,"2","N0","T0",0.853,0.147,"LOW"
33,"2","N0","T0",0.8517,0.1483,"LOW"
34,"2","N0","T0",0.8674,0.1326,"LOW"
35,"2","N0","T0",0.8685,0.1315,"LOW"
36,"2","N0","T0",0.8712,0.1288,"LOW"
37,"2","N0","T0",0.8711,0.1289,"LOW"
38,"2","N0","T0",0.863,0.137,"LOW"
39,"2","N0","T0",0.852,0.148,"LOW"
40,"2","N0","T0",0.8587,0.1413,"LOW"
41,"2","N0","T0",0.8618,0.1382,"LOW"
42,"2","N0","T0",0.8604,0.1396,"LOW"
43,"2","N0","T0",0.8613,0.1387,"LOW"
44,"2","N0","T0",0.8593,0.1407,"LOW"
45,"2","N0","T0",0.8585,0.1415,"LOW"
46,"2","N0","T0",0.8511,0.1489,"LOW"
47,"2","N0","T0",0.8321,0.1679,"LOW"
48,"2","N0","T0",0.8246,0.1754,"LOW"
49,"2","N0","T0",0.8349,0.1651,"LOW"
50,"2","N0","T0",0.8419,0.1581,"LOW"
51,"2","N0","T0",0.8574,0.1426,"LOW"
52,"2","N0","T0",0.8612,0.1388,"LOW"
53,"2","N0","T0",0.8734,0.1266,"LOW"
54,"2","N0","T0",0.8831,0.1169,"LOW"
55,"2","N0","T0",0.8859,0.1141,"LOW"
56,"2","N0","T0",0.8933,0.1067,"LOW"
57,"2","N0","T0",0.8954,0.1046,"LOW"
58,"2","N0","T0",0.8902,0.1098,"LOW"
59,"2","N0","T0",0.8876,0.1124,"LOW"
60,"2","N0","T0",0.8914,0.1086,"LOW"
61,"2","N0","T0",0.8888,0.1112,"LOW"
62,"2","N0","T0",0.896,0.104,"LOW"
63,"2","N0","T0",0.8991,0.1009,"LOW"
64,"2","N0","T0",0.9043,0.0957,"LOW"
65,"2","N0","T0",0.9091,0.0909,"LOW"
66,"2","N0","T0",0.9125,0.0875,"LOW"
67,"2","N0","T0",0.9123,0.0877,"LOW"
68,"2","N0","T0",0.9117,0.0883,"LOW"
69,"2","N0","T0",0.9181,0.0819,"LOW"
70,"2","N0","T0",0.9198,0.0802,"LOW"
71,"2","N0","T0",0.9101,0.0899,"LOW"
72,"2","N0","T0",0.9062,0.0938,"LOW"
73,"2","N0","T0",0.9017,0.0983,"LOW"
74,"2","N0","T0",0.8951,0.1049,"LOW"
75,"2","N0","T0",0.8665,0.1335,"LOW"
76,"2","N0","T0",0.7944,0.2056,"LOW"
77,"2","N0","T0",0.8332,0.1668,"LOW"
78,"2","N0","T0",0.8639,0.1361,"LOW"
79,"2","N0","T0",0.8678,0.1322,"LOW"
80,"2","N0","T0",0.8795,0.1205,"LOW"
81,"2","N0","T0",0.8911,0.1089,"LOW"
82,"2","N0","T0",0.8923,0.1077,"LOW"
83,"2","N0","T0",0.9044,0.0956,"LOW"
84,"2","N0","T0",0.9043,0.0957,"LOW"
85,"2","N0","T0",0.9049,0.0951,"LOW"
86,"2","N0","T0",0.9033,0.0967,"LOW"
87,"2","N0","T0",0.8993,0.1007,"LOW"
88,"2","N0","T0",0.8856,0.1144,"LOW"
89,"2","N0","T0",0.8762,0.1238,"LOW"
90,"2","N0","T0",0.8786,0.1214,"LOW"
91,"2","N0","T0",0.8786,0.1214,"LOW"
92,"2","N0","T0",0.8786,0.1214,"LOW"
93,"2","N0","T0",0.8786,0.1214,"LOW"
94,"2","N0","T0",0.8786,0.1214,"LOW"
95,"2","N0","T0",0.8786,0.1214,"LOW"
96,"2","N0","T0",0.8786,0.1214,"LOW"
97,"2","N0","T0",0.8786,0.1214,"LOW"
98,"2","N0","T0",0.8786,0.1214,"LOW"
99,"2","N0","T0",0.8786,0.1214,"LOW"
0,"1","N1","T0",0.3506,0.6494,"HIGH"
1,"1","N1","T0",0.3506,0.6494,"HIGH"
2,"1","N1","T0",0.3506,0.6494,"HIGH"
3,"1","N1","T0",0.3506,0.6494,"HIGH"
4,"1","N1","T0",0.3506,0.6494,"HIGH"
5,"1","N1","T0",0.3506,0.6494,"HIGH"
6,"1","N1","T0",0.3506,0.6494,"HIGH"
7,"1","N1","T0",0.3506,0.6494,"HIGH"
8,"1","N1","T0",0.3506,0.6494,"HIGH"
9,"1","N1","T0",0.3506,0.6494,"HIGH"
10,"1","N1","T0",0.3506,0.6494,"HIGH"
11,"1","N1","T0",0.3506,0.6494,"HIGH"
12,"1","N1","T0",0.3506,0.6494,"HIGH"
13,"1","N1","T0",0.3506,0.6494,"HIGH"
14,"1","N1","T0",0.3506,0.6494,"HIGH"
15,"1","N1","T0",0.3506,0.6494,"HIGH"
16,"1","N1","T0",0.3696,0.6304,"HIGH"
17,"1","N1","T0",0.3696,0.6304,"HIGH"
18,"1","N1","T0",0.3682,0.6318,"HIGH"
19,"1","N1","T0",0.3738,0.6262,"HIGH"
20,"1","N1","T0",0.3773,0.6227,"HIGH"
21,"1","N1","T0",0.3855,0.6145,"HIGH"
22,"1","N1","T0",0.3962,0.6038,"HIGH"
23,"1","N1","T0",0.4055,0.5945,"HIGH"
24,"1","N1","T0",0.4015,0.5985,"HIGH"
25,"1","N1","T0",0.3926,0.6074,"HIGH"
26,"1","N1","T0",0.3904,0.6096,"HIGH"
27,"1","N1","T0",0.389,0.611,"HIGH"
28,"1","N1","T0",0.3783,0.6217,"HIGH"
29,"1","N1","T0",0.3868,0.6132,"HIGH"
30,"1","N1","T0",0.3892,0.6108,"HIGH"
31,"1","N1","T0",0.3969,0.6031,"HIGH"
32,"1","N1","T0",0.4063,0.5937,"HIGH"
33,"1","N1","T0",0.4149,0.5851,"HIGH"
34,"1","N1","T0",0.4136,0.5864,"HIGH"
35,"1","N1","T0",0.4188,0.5812,"HIGH"
36,"1","N1","T0",0.4311,0.5689,"HIGH"
37,"1","N1","T0",0.4364,0.5636,"HIGH"
38,"1","N1","T0",0.4406,0.5594,"HIGH"
39,"1","N1","T0",0.4362,0.5638,"HIGH"
40,"1","N1","T0",0.4433,0.5567,"HIGH"
41,"1","N1","T0",0.4474,0.5526,"HIGH"
42,"1","N1","T0",0.4503,0.5497,"HIGH"
43,"1","N1","T0",0.4577,0.5423,"HIGH"
44,"1","N1","T0",0.4502,0.5498,"HIGH"
45,"1","N1","T0",0.4589,0.5411,"HIGH"
46,"1","N1","T0",0.4625,0.5375,"HIGH"
47,"1","N1","T0",0.4567,0.5433,"HIGH"
48,"1","N1","T0",0.4628,0.5372,"HIGH"
49,"1","N1","T0",0.467,0.533,"HIGH"
50,"1","N1","T0",0.4689,0.5311,"HIGH"
51,"1","N1","T0",0.4706,0.5294,"HIGH"
52,"1","N1","T0",0.4747,0.5253,"HIGH"
53,"1","N1","T0",0.4786,0.5214,"HIGH"
54,"1","N1","T0",0.4852,0.5148,"HIGH"
55,"1","N1","T0",0.4901,0.5099,"HIGH"
56,"1","N1","T0",0.5023,0.4977,"LOW"
57,"1","N1","T0",0.5303,0.4697,"LOW"
58,"1","N1","T0",0.5485,0.4515,"LOW"
59,"1","N1","T0",0.5748,0.4252,"LOW"
60,"1","N1","T0",0.5975,0.4025,"LOW"
61,"1","N1","T0",0.5657,0.4343,"LOW"
62,"1","N1","T0",0.6229,0.3771,"LOW"
63,"1","N1","T0",0.6505,0.3495,"LOW"
64,"1","N1","T0",0.6649,0.3351,"LOW"
65,"1","N1","T0",0.622,0.378,"LOW"
66,"1","N1","T0",0.5777,0.4223,"LOW"
67,"1","N1","T0",0.6048,0.3952,"LOW"
68,"1","N1","T0",0.6225,0.3775,"LOW"
69,"1","N1","T0",0.6331,0.3669,"LOW"
70,"1","N1","T0",0.6148,0.3852,"LOW"
71,"1","N1","T0",0.5927,0.4073,"LOW"
72,"1","N1","T0",0.6112,0.3888,"LOW"
73,"1","N1","T0",0.5725,0.4275,"LOW"
74,"1","N1","T0",0.5868,0.4132,"LOW"
75,"1","N1","T0",0.6075,0.3925,"LOW"
76,"1","N1","T0",0.6165,0.3835,"LOW"
77,"1","N1","T0",0.5931,0.4069,"LOW"
78,"1","N1","T0",0.5687,0.4313,"LOW"
79,"1","N1","T0",0.5519,0.4481,"LOW"
80,"1","N1","T0",0.5419,0.4581,"LOW"
81,"1","N1","T0",0.5255,0.4745,"LOW"
82,"1","N1","T0",0.5087,0.4913,"LOW"
83,"1","N1","T0",0.4948,0.5052,"HIGH"
84,"1","N1","T0",0.4843,0.5157,"HIGH"
85,"1","N1","T0",0.491,0.509,"HIGH"
86,"1","N1","T0",0.4984,0.5016,"HIGH"
87,"1","N1","T0",0.5051,0.4949,"LOW"
88,"1","N1","T0",0.4994,0.5006,"HIGH"
89,"1","N1","T0",0.5105,0.4895,"LOW"
90,"1","N1","T0",0.5164,0.4836,"LOW"
91,"1","N1","T0",0.5164,0.4836,"LOW"
92,"1","N1","T0",0.5164,0.4836,"LOW"
93,"1","N1","T0",0.5164,0.4836,"LOW"
94,"1","N1","T0",0.5164,0.4836,"LOW"
95,"1","N1","T0",0.5164,0.4836,"LOW"
96,"1","N1","T0",0.5164,0.4836,"LOW"
97,"1","N1","T0",0.5164,0.4836,"LOW"
98,"1","N1","T0",0.5164,0.4836,"LOW"
99,"1","N1","T0",0.5164,0.4836,"LOW"
0,"2","N1","T0",0.5565,0.4435,"LOW"
1,"2","N1","T0",0.5565,0.4435,"LOW"
2,"2","N1","T0",0.5565,0.4435,"LOW"
3,"2","N1","T0",0.5565,0.4435,"LOW"
4,"2","N1","T0",0.5565,0.4435,"LOW"
5,"2","N1","T0",0.5565,0.4435,"LOW"
6,"2","N1","T0",0.5565,0.4435,"LOW"
7,"2","N1","T0",0.5565,0.4435,"LOW"
8,"2","N1","T0",0.5565,0.4435,"LOW"
9,"2","N1","T0",0.5565,0.4435,"LOW"
10,"2","N1","T0",0.5565,0.4435,"LOW"
11,"2","N1","T0",0.5565,0.4435,"LOW"
12,"2","N1","T0",0.5565,0.4435,"LOW"
13,"2","N1","T0",0.5565,0.4435,"LOW"
14,"2","N1","T0",0.5565,0.4435,"LOW"
15,"2","N1","T0",0.5565,0.4435,"LOW"
16,"2","N1","T0",0.5693,0.4307,"LOW"
17,"2","N1","T0",0.5693,0.4307,"LOW"
18,"2","N1","T0",0.5709,0.4291,"LOW"
19,"2","N1","T0",0.5749,0.4251,"LOW"
20,"2","N1","T0",0.5766,0.4234,"LOW"
21,"2","N1","T0",0.5795,0.4205,"LOW"
22,"2","N1","T0",0.5862,0.4138,"LOW"
23,"2","N1","T0",0.5953,0.4047,"LOW"
24,"2","N1","T0",0.5934,0.4066,"LOW"
25,"2","N1","T0",0.5949,0.4051,"LOW"
26,"2","N1","T0",0.5869,0.4131,"LOW"
27,"2","N1","T0",0.5884,0.4116,"LOW"
28,"2","N1","T0",0.5856,0.4144,"LOW"
29,"2","N1","T0",0.5958,0.4042,"LOW"
30,"2","N1","T0",0.5997,0.4003,"LOW"
31,"2","N1","T0",0.6111,0.3889,"LOW"
32,"2","N1","T0",0.612,0.388,"LOW"
33,"2","N1","T0",0.6141,0.3859,"LOW"
34,"2","N1","T0",0.6172,0.3828,"LOW"
35,"2","N1","T0",0.631,0.369,"LOW"
36,"2","N1","T0",0.6421,0.3579,"LOW"
37,"2","N1","T0",0.648,0.352,"LOW"
38,"2","N1","T0",0.6583,0.3417,"LOW"
39,"2","N1","T0",0.6567,0.3433,"LOW"
40,"2","N1","T0",0.6729,0.3271,"LOW"
41,"2","N1","T0",0.6752,0.3248,"LOW"
42,"2","N1","T0",0.6824,0.3176,"LOW"
43,"2","N1","T0",0.6885,0.3115,"LOW"
44,"2","N1","T0",0.6858,0.3142,"LOW"
45,"2","N1","T0",0.6926,0.3074,"LOW"
46,"2","N1","T0",0.6905,0.3095,"LOW"
47,"2","N1","T0",0.6904,0.3096,"LOW"
48,"2","N1","T0",0.6898,0.3102,"LOW"
49,"2","N1","T0",0.6904,0.3096,"LOW"
50,"2","N1","T0",0.6945,0.3055,"LOW"
51,"2","N1","T0",0.6987,0.3013,"LOW"
52,"2","N1","T0",0.7016,0.2984,"LOW"
53,"2","N1","T0",0.7081,0.2919,"LOW"
54,"2","N1","T0",0.7148,0.2852,"LOW"
55,"2","N1","T0",0.7174,0.2826,"LOW"
56,"2","N1","T0",0.7193,0.2807,"LOW"
57,"2","N1","T0",0.7204,0.2796,"LOW"
58,"2","N1","T0",0.7313,0.2687,"LOW"
59,"2","N1","T0",0.7401,0.2599,"LOW"
60,"2","N1","T0",0.7491,0.2509,"LOW"
61,"2","N1","T0",0.7484,0.2516,"LOW"
62,"2","N1","T0",0.764,0.236,"LOW"
63,"2","N1","T0",0.7708,0.2292,"LOW"
64,"2","N1","T0",0.7667,0.2333,"LOW"
65,"2","N1","T0",0.7565,0.2435,"LOW"
66,"2","N1","T0",0.7478,0.2522,"LOW"
67,"2","N1","T0",0.7536,0.2464,"LOW"
68,"2","N1","T0",0.7361,0.2639,"LOW"
69,"2","N1","T0",0.7287,0.2713,"LOW"
70,"2","N1","T0",0.7113,0.2887,"LOW"
71,"2","N1","T0",0.6929,0.3071,"LOW"
72,"2","N1","T0",0.6561,0.3439,"LOW"
73,"2","N1","T0",0.6066,0.3934,"LOW"
74,"2","N1","T0",0.5596,0.4404,"LOW"
75,"2","N1","T0",0.5096,0.4904,"LOW"
76,"2","N1","T0",0.4604,0.5396,"HIGH"
77,"2","N1","T0",0.4527,0.5473,"HIGH"
78,"2","N1","T0",0.4376,0.5624,"HIGH"
79,"2","N1","T0",0.4439,0.5561,"HIGH"
80,"2","N1","T0",0.4476,0.5524,"HIGH"
81,"2","N1","T0",0.4574,0.5426,"HIGH"
82,"2","N1","T0",0.4572,0.5428,"HIGH"
83,"2","N1","T0",0.4619,0.5381,"HIGH"
84,"2","N1","T0",0.4613,0.5387,"HIGH"
85,"2","N1","T0",0.4671,0.5329,"HIGH"
86,"2","N1","T0",0.4831,0.5169,"HIGH"
87,"2","N1","T0",0.4855,0.5145,"HIGH"
88,"2","N1","T0",0.4906,0.5094,"HIGH"
89,"2","N1","T0",0.4928,0.5072,"HIGH"
90,"2","N1","T0",0.4896,0.5104,"HIGH"
91,"2","N1","T0",0.4896,0.5104,"HIGH"
92,"2","N1","T0",0.4896,0.5104,"HIGH"
93,"2","N1","T0",0.4896,0.5104,"HIGH"
94,"2","N1","T0",0.4896,0.5104,"HIGH"
95,"2","N1","T0",0.4896,0.5104,"HIGH"
96,"2","N1","T0",0.4896,0.5104,"HIGH"
97,"2","N1","T0",0.4896,0.5104,"HIGH"
98,"2","N1","T0",0.4896,0.5104,"HIGH"
99,"2","N1","T0",0.4896,0.5104,"HIGH"
0,"1","N2","T0",0.3788,0.6212,"HIGH"
1,"1","N2","T0",0.3788,0.6212,"HIGH"
2,"1","N2","T0",0.3788,0.6212,"HIGH"
3,"1","N2","T0",0.3788,0.6212,"HIGH"
4,"1","N2","T0",0.3788,0.6212,"HIGH"
5,"1","N2","T0",0.3788,0.6212,"HIGH"
6,"1","N2","T0",0.3788,0.6212,"HIGH"
7,"1","N2","T0",0.3788,0.6212,"HIGH"
8,"1","N2","T0",0.3788,0.6212,"HIGH"
9,"1","N2","T0",0.3788,0.6212,"HIGH"
10,"1","N2","T0",0.3788,0.6212,"HIGH"
11,"1","N2","T0",0.3788,0.6212,"HIGH"
12,"1","N2","T0",0.3788,0.6212,"HIGH"
13,"1","N2","T0",0.3788,0.6212,"HIGH"
14,"1","N2","T0",0.3788,0.6212,"HIGH"
15,"1","N2","T0",0.3788,0.6212,"HIGH"
16,"1","N2","T0",0.3788,0.6212,"HIGH"
17,"1","N2","T0",0.3788,0.6212,"HIGH"
18,"1","N2","T0",0.3808,0.6192,"HIGH"
19,"1","N2","T0",0.3808,0.6192,"HIGH"
20,"1","N2","T0",0.3821,0.6179,"HIGH"
21,"1","N2","T0",0.3821,0.6179,"HIGH"
22,"1","N2","T0",0.3821,0.6179,"HIGH"
23,"1","N2","T0",0.3725,0.6275,"HIGH"
24,"1","N2","T0",0.3501,0.6499,"HIGH"
25,"1","N2","T0",0.3497,0.6503,"HIGH"
26,"1","N2","T0",0.3508,0.6492,"HIGH"
27,"1","N2","T0",0.3555,0.6445,"HIGH"
28,"1","N2","T0",0.3577,0.6423,"HIGH"
29,"1","N2","T0",0.3634,0.6366,"HIGH"
30,"1","N2","T0",0.3552,0.6448,"HIGH"
31,"1","N2","T0",0.3529,0.6471,"HIGH"
32,"1","N2","T0",0.3414,0.6586,"HIGH"
33,"1","N2","T0",0.3558,0.6442,"HIGH"
34,"1","N2","T0",0.3545,0.6455,"HIGH"
35,"1","N2","T0",0.3514,0.6486,"HIGH"
36,"1","N2","T0",0.3549,0.6451,"HIGH"
37,"1","N2","T0",0.3535,0.6465,"HIGH"
38,"1","N2","T0",0.338,0.662,"HIGH"
39,"1","N2","T0",0.3374,0.6626,"HIGH"
40,"1","N2","T0",0.327,0.673,"HIGH"
41,"1","N2","T0",0.3198,0.6802,"HIGH"
42,"1","N2","T0",0.3119,0.6881,"HIGH"
43,"1","N2","T0",0.302,0.698,"HIGH"
44,"1","N2","T0",0.3096,0.6904,"HIGH"
45,"1","N2","T0",0.3259,0.6741,"HIGH"
46,"1","N2","T0",0.3365,0.6635,"HIGH"
47,"1","N2","T0",0.3385,0.6615,"HIGH"
48,"1","N2","T0",0.3356,0.6644,"HIGH"
49,"1","N2","T0",0.3398,0.6602,"HIGH"
50,"1","N2","T0",0.3489,0.6511,"HIGH"
51,"1","N2","T0",0.3475,0.6525,"HIGH"
52,"1","N2","T0",0.3579,0.6421,"HIGH"
53,"1","N2","T0",0.3582,0.6418,"HIGH"
54,"1","N2","T0",0.3641,0.6359,"HIGH"
