"AGE","SEX","TNM_N_cat","TNM_T_cat","no_metastasis","metastasis","risk_level"
0,"1","N0","T0",0.4745,0.5255,"HIGH"
1,"1","N0","T0",0.4744,0.5256,"HIGH"
2,"1","N0","T0",0.4737,0.5263,"HIGH"
3,"1","N0","T0",0.474,0.526,"HIGH"
4,"1","N0","T0",0.474,0.526,"HIGH"
5,"1","N0","T0",0.474,0.526,"HIGH"
6,"1","N0","T0",0.474,0.526,"HIGH"
7,"1","N0","T0",0.474,0.526,"HIGH"
8,"1","N0","T0",0.474,0.526,"HIGH"
9,"1","N0","T0",0.474,0.526,"HIGH"
10,"1","N0","T0",0.4703,0.5297,"HIGH"
11,"1","N0","T0",0.4683,0.5317,"HIGH"
12,"1","N0","T0",0.4683,0.5317,"HIGH"
13,"1","N0","T0",0.4683,0.5317,"HIGH"
14,"1","N0","T0",0.4683,0.5317,"HIGH"
15,"1","N0","T0",0.474,0.526,"HIGH"
16,"1","N0","T0",0.474,0.526,"HIGH"
17,"1","N0","T0",0.474,0.526,"HIGH"
18,"1","N0","T0",0.4631,0.5369,"HIGH"
19,"1","N0","T0",0.4148,0.5852,"HIGH"
20,"1","N0","T0",0.4068,0.5932,"HIGH"
21,"1","N0","T0",0.4332,0.5668,"HIGH"
22,"1","N0","T0",0.5307,0.4693,"LOW"
23,"1","N0","T0",0.5605,0.4395,"LOW"
24,"1","N0","T0",0.5779,0.4221,"LOW"
25,"1","N0","T0",0.5744,0.4256,"LOW"
26,"1","N0","T0",0.5341,0.4659,"LOW"
27,"1","N0","T0",0.5227,0.4773,"LOW"
28,"1","N0","T0",0.4687,0.5313,"HIGH"
29,"1","N0","T0",0.4845,0.5155,"HIGH"
30,"1","N0","T0",0.4129,0.5871,"HIGH"
31,"1","N0","T0",0.4367,0.5633,"HIGH"
32,"1","N0","T0",0.3764,0.6236,"HIGH"
33,"1","N0","T0",0.3752,0.6248,"HIGH"
34,"1","N0","T0",0.3844,0.6156,"HIGH"
35,"1","N0","T0",0.3969,0.6031,"HIGH"
36,"1","N0","T0",0.4203,0.5797,"HIGH"
37,"1","N0","T0",0.4243,0.5757,"HIGH"
38,"1","N0","T0",0.3763,0.6237,"HIGH"
39,"1","N0","T0",0.417,0.583,"HIGH"
40,"1","N0","T0",0.3669,0.6331,"HIGH"
41,"1","N0","T0",0.3709,0.6291,"HIGH"
42,"1","N0","T0",0.3712,0.6288,"HIGH"
43,"1","N0","T0",0.3725,0.6275,"HIGH"
44,"1","N0","T0",0.3784,0.6216,"HIGH"
45,"1","N0","T0",0.4135,0.5865,"HIGH"
46,"1","N0","T0",0.3662,0.6338,"HIGH"
47,"1","N0","T0",0.3363,0.6637,"HIGH"
48,"1","N0","T0",0.3462,0.6538,"HIGH"
49,"1","N0","T0",0.3584,0.6416,"HIGH"
50,"1","N0","T0",0.3337,0.6663,"HIGH"
51,"1","N0","T0",0.3473,0.6527,"HIGH"
52,"1","N0","T0",0.3418,0.6582,"HIGH"
53,"1","N0","T0",0.3454,0.6546,"HIGH"
54,"1","N0","T0",0.3556,0.6444,"HIGH"
55,"1","N0","T0",0.3417,0.6583,"HIGH"
56,"1","N0","T0",0.3369,0.6631,"HIGH"
57,"1","N0","T0",0.3461,0.6539,"HIGH"
58,"1","N0","T0",0.3385,0.6615,"HIGH"
59,"1","N0","T0",0.3344,0.6656,"HIGH"
60,"1","N0","T0",0.334,0.666,"HIGH"
61,"1","N0","T0",0.336,0.664,"HIGH"
62,"1","N0","T0",0.3325,0.6675,"HIGH"
63,"1","N0","T0",0.3312,0.6688,"HIGH"
64,"1","N0","T0",0.337,0.663,"HIGH"
65,"1","N0","T0",0.3388,0.6612,"HIGH"
66,"1","N0","T0",0.3418,0.6582,"HIGH"
67,"1","N0","T0",0.3438,0.6562,"HIGH"
68,"1","N0","T0",0.3513,0.6487,"HIGH"
69,"1","N0","T0",0.353,0.647,"HIGH"
70,"1","N0","T0",0.3485,0.6515,"HIGH"
71,"1","N0","T0",0.3602,0.6398,"HIGH"
72,"1","N0","T0",0.3475,0.6525,"HIGH"
73,"1","N0","T0",0.3465,0.6535,"HIGH"
74,"1","N0","T0",0.3254,0.6746,"HIGH"
75,"1","N0","T0",0.322,0.678,"HIGH"
76,"1","N0","T0",0.3216,0.6784,"HIGH"
77,"1","N0","T0",0.3333,0.6667,"HIGH"
78,"1","N0","T0",0.3309,0.6691,"HIGH"
79,"1","N0","T0",0.3376,0.6624,"HIGH"
80,"1","N0","T0",0.3414,0.6586,"HIGH"
81,"1","N0","T0",0.3427,0.6573,"HIGH"
82,"1","N0","T0",0.3482,0.6518,"HIGH"
83,"1","N0","T0",0.3495,0.6505,"HIGH"
84,"1","N0","T0",0.3742,0.6258,"HIGH"
85,"1","N0","T0",0.3289,0.6711,"HIGH"
86,"1","N0","T0",0.3454,0.6546,"HIGH"
87,"1","N0","T0",0.3616,0.6384,"HIGH"
88,"1","N0","T0",0.3474,0.6526,"HIGH"
89,"1","N0","T0",0.3583,0.6417,"HIGH"
90,"1","N0","T0",0.3369,0.6631,"HIGH"
91,"1","N0","T0",0.3369,0.6631,"HIGH"
92,"1","N0","T0",0.3369,0.6631,"HIGH"
93,"1","N0","T0",0.3369,0.6631,"HIGH"
94,"1","N0","T0",0.3369,0.6631,"HIGH"
95,"1","N0","T0",0.3369,0.6631,"HIGH"
96,"1","N0","T0",0.3369,0.6631,"HIGH"
97,"1","N0","T0",0.3369,0.6631,"HIGH"
98,"1","N0","T0",0.3369,0.6631,"HIGH"
99,"1","N0","T0",0.3369,0.6631,"HIGH"
0,"2","N0","T0",0.4808,0.5192,"HIGH"
1,"2","N0","T0",0.4798,0.5202,"HIGH"
2,"2","N0","T0",0.4798,0.5202,"HIGH"
3,"2","N0","T0",0.4798,0.5202,"HIGH"
4,"2","N0","T0",0.4798,0.5202,"HIGH"
5,"2","N0","T0",0.4798,0.5202,"HIGH"
6,"2","N0","T0",0.4798,0.5202,"HIGH"
7,"2","N0","T0",0.4798,0.5202,"HIGH"
8,"2","N0","T0",0.4798,0.5202,"HIGH"
9,"2","N0","T0",0.4798,0.5202,"HIGH"
10,"2","N0","T0",0.4767,0.5233,"HIGH"
11,"2","N0","T0",0.4697,0.5303,"HIGH"
12,"2","N0","T0",0.4707,0.5293,"HIGH"
13,"2","N0","T0",0.4707,0.5293,"HIGH"
14,"2","N0","T0",0.4707,0.5293,"HIGH"
15,"2","N0","T0",0.4764,0.5236,"HIGH"
16,"2","N0","T0",0.4956,0.5044,"HIGH"
17,"2","N0","T0",0.4956,0.5044,"HIGH"
18,"2","N0","T0",0.4921,0.5079,"HIGH"
19,"2","N0","T0",0.4853,0.5147,"HIGH"
20,"2","N0","T0",0.4946,0.5054,"HIGH"
21,"2","N0","T0",0.494,0.506,"HIGH"
22,"2","N0","T0",0.4668,0.5332,"HIGH"
23,"2","N0","T0",0.4596,0.5404,"HIGH"
24,"2","N0","T0",0.4869,0.5131,"HIGH"
25,"2","N0","T0",0.4805,0.5195,"HIGH"
26,"2","N0","T0",0.486,0.514,"HIGH"
27,"2","N0","T0",0.4825,0.5175,"HIGH"
28,"2","N0","T0",0.4776,0.5224,"HIGH"
29,"2","N0","T0",0.4984,0.5016,"HIGH"
30,"2","N0","T0",0.4964,0.5036,"HIGH"
31,"2","N0","T0",0.4907,0.5093,"HIGH"
32,"2","N0","T0",0.4947,0.5053,"HIGH"
33,"2","N0","T0",0.4956,0.5044,"HIGH"
34,"2","N0","T0",0.5123,0.4877,"LOW"
35,"2","N0","T0",0.5071,0.4929,"LOW"
36,"2","N0","T0",0.515,0.485,"LOW"
37,"2","N0","T0",0.5185,0.4815,"LOW"
38,"2","N0","T0",0.5094,0.4906,"LOW"
39,"2","N0","T0",0.5213,0.4787,"LOW"
40,"2","N0","T0",0.5246,0.4754,"LOW"
41,"2","N0","T0",0.5005,0.4995,"LOW"
42,"2","N0","T0",0.5104,0.4896,"LOW"
43,"2","N0","T0",0.4966,0.5034,"HIGH"
44,"2","N0","T0",0.4675,0.5325,"HIGH"
45,"2","N0","T0",0.4924,0.5076,"HIGH"
46,"2","N0","T0",0.4528,0.5472,"HIGH"
47,"2","N0","T0",0.4589,0.5411,"HIGH"
48,"2","N0","T0",0.4634,0.5366,"HIGH"
49,"2","N0","T0",0.4925,0.5075,"HIGH"
50,"2","N0","T0",0.4862,0.5138,"HIGH"
51,"2","N0","T0",0.4485,0.5515,"HIGH"
52,"2","N0","T0",0.4344,0.5656,"HIGH"
